sep=,
"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"561272f6-4496-4c74-af3a-4ea10451f080","Create or Update Cluster","Accepted","Administrative","Informational","2019-05-11T06:39:40.708Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.HDInsight/clusters","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourcegroups/MyStorage-GR8KUMAR/providers/Microsoft.HDInsight/clusters/gr8kumar-spark-hdinsight"
"561272f6-4496-4c74-af3a-4ea10451f080","Create Deployment","Started","Administrative","Informational","2019-05-11T06:39:28.900Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Resources/deployments","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourceGroups/MyStorage-GR8KUMAR/providers/Microsoft.Resources/deployments/HDInsight__2019-05-11T06.39.27.948Z"
"561272f6-4496-4c74-af3a-4ea10451f080","Create Deployment","Accepted","Administrative","Informational","2019-05-11T06:39:29.206Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Resources/deployments","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourceGroups/MyStorage-GR8KUMAR/providers/Microsoft.Resources/deployments/HDInsight__2019-05-11T06.39.27.948Z"
"561272f6-4496-4c74-af3a-4ea10451f080","List Storage Account Keys","Started","Administrative","Informational","2019-05-11T06:39:29.615Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Storage/storageAccounts","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourcegroups/MyStorage-GR8KUMAR/providers/Microsoft.Storage/storageAccounts/gr8kumarstorage"
"561272f6-4496-4c74-af3a-4ea10451f080","List Storage Account Keys","Succeeded","Administrative","Informational","2019-05-11T06:39:29.790Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Storage/storageAccounts","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourcegroups/MyStorage-GR8KUMAR/providers/Microsoft.Storage/storageAccounts/gr8kumarstorage"
"561272f6-4496-4c74-af3a-4ea10451f080","Create or Update Cluster","Started","Administrative","Informational","2019-05-11T06:39:29.862Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.HDInsight/clusters","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourcegroups/MyStorage-GR8KUMAR/providers/Microsoft.HDInsight/clusters/gr8kumar-spark-hdinsight"
"c1a744af-962e-4c9c-815a-449863bb94a1","ValidateCreateRequest","Failed","Administrative","Error","2019-05-11T06:38:03.349Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.HdInsight/locations","","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/providers/Microsoft.HdInsight/locations/southindia"
"c1a744af-962e-4c9c-815a-449863bb94a1","ValidateCreateRequest","Started","Administrative","Informational","2019-05-11T06:37:43.333Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.HdInsight/locations","","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/providers/Microsoft.HdInsight/locations/southindia"
"fdf5d61d-92ba-4d35-9b55-089a960c8c9d","Update Storage Account Create","Succeeded","Administrative","Informational","2019-05-11T06:36:38.066Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Storage/storageAccounts","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourcegroups/MyStorage-GR8KUMAR/providers/Microsoft.Storage/storageAccounts/gr8kumarstorage"
"fdf5d61d-92ba-4d35-9b55-089a960c8c9d","Create Deployment","Started","Administrative","Informational","2019-05-11T06:26:35.110Z","356d6176-c606-4ce3-bb46-564065fbcec3","gr8kumar@gmail.com","Microsoft.Resources/deployments","MyStorage-GR8KUMAR","/subscriptions/356d6176-c606-4ce3-bb46-564065fbcec3/resourceGroups/MyStorage-GR8KUMAR/providers/Microsoft.Resources/deployments/Microsoft.StorageAccount-20190511115456"
